"HasName","Weekday","OutcomeType","OutcomeSubtype","AnimalType","SexUponOutcome","DaysUponOutcome","Breed","Color1","Color2","IsMixedColor"
"false",4,"Adoption",,"Cat","spayedfemale",60,"mixed","torbie",,"false"
"true",5,"Return_to_owner",,"Dog","neuteredmale",1825,"mixed","black","brown","true"
"true",6,"Transfer","Partner","Dog","neuteredmale",1095,"mixed","brown",,"false"
"false",5,"Euthanasia","Suffering","Dog","intactmale",1095,"mixed","yellow",,"false"
"true",4,"Return_to_owner",,"Dog","neuteredmale",1095,"mixed","brown","white","true"
"false",3,"Transfer","Partner","Cat","intactmale",60,"mixed","blue","white","true"
"true",2,"Transfer","Partner","Cat","neuteredmale",120,"mixed","black","white","true"
"false",2,"Transfer","Partner","Cat","intactmale",21,"mixed","browntabby",,"false"
"true",6,"Adoption",,"Cat","spayedfemale",2555,"mixed","bluetabby",,"false"
"false",2,"Transfer","Partner","Cat","intactmale",60,"mixed","orangetabby",,"false"
"true",1,"Transfer","Partner","Cat","intactfemale",60,"mixed","browntabby",,"false"
"false",2,"Transfer","SCRP","Cat","intactmale",1460,"mixed","black","white","true"
"true",3,"Adoption",,"Cat","neuteredmale",730,"mixed","black","white","true"
"true",3,"Return_to_owner",,"Dog","neuteredmale",4380,"beagle","tricolor",,"false"
"true",2,"Return_to_owner",,"Cat","spayedfemale",3285,"mixed","black","white","true"
"false",2,"Transfer","Partner","Cat","intactfemale",21,"mixed","black",,"false"
"true",1,"Adoption",,"Dog","spayedfemale",150,"mixed","black","brown","true"
"false",3,"Euthanasia","Aggressive","Dog","intactmale",2190,"mixed","chocolate","white","true"
"false",1,"Transfer","SCRP","Cat","intactfemale",365,"mixed","tortie",,"false"
"true",1,"Adoption",,"Cat","spayedfemale",90,"mixed","browntabby",,"false"
"false",4,"Transfer","Partner","Cat","intactfemale",21,"mixed","bluetabby","white","true"
"true",4,"Adoption",,"Dog","neuteredmale",730,"mixed","gray","white","true"
"true",2,"Adoption",,"Cat","spayedfemale",60,"mixed","orangetabby","white","true"
"false",0,"Transfer","Partner","Cat","intactmale",7,"mixed","black",,"false"
"true",0,"Adoption",,"Cat","spayedfemale",60,"mixed","calico",,"false"
"false",5,"Transfer","Partner","Dog","intactmale",365,"mixed","tan",,"false"
"true",2,"Return_to_owner",,"Dog","spayedfemale",1460,"mixed","black","tan","true"
"true",1,"Adoption",,"Dog","neuteredmale",730,"mixed","brown","white","true"
"true",3,"Transfer","Partner","Cat","intactmale",365,"mixed","orangetabby","white","true"
"true",5,"Euthanasia","Suffering","Dog","spayedfemale",4015,"mixed","black","brown","true"
"true",2,"Transfer","Partner","Cat","intactfemale",30,"mixed","black",,"false"
"true",3,"Adoption",,"Dog","spayedfemale",730,"mixed","tan","white","true"
"false",4,"Transfer","Partner","Cat","unknown",14,"mixed","black",,"false"
"true",2,"Return_to_owner",,"Dog","spayedfemale",2190,"mixed","white",,"false"
"true",1,"Transfer","Partner","Dog","neuteredmale",180,"mixed","black","white","true"
"true",2,"Transfer","Partner","Dog","intactfemale",60,"englishfoxhound","buff",,"false"
"false",2,"Transfer","SCRP","Cat","unknown",60,"mixed","browntabby","white","true"
"true",6,"Adoption",,"Dog","spayedfemale",365,"mixed","red",,"false"
"true",3,"Adoption",,"Dog","neuteredmale",60,"mixed","brown",,"false"
"true",5,"Transfer","Partner","Dog","neuteredmale",730,"mixed","brownbrindle","white","true"
"false",2,"Adoption",,"Dog","spayedfemale",1095,"mixed","white",,"false"
"true",2,"Return_to_owner",,"Cat","intactfemale",365,"mixed","black",,"false"
"true",6,"Return_to_owner",,"Dog","spayedfemale",1460,"mixed","blue","tan","true"
"true",3,"Transfer","Partner","Dog","spayedfemale",730,"mixed","tan",,"false"
"true",0,"Adoption",,"Cat","spayedfemale",90,"domesticlonghair","browntabby",,"false"
"false",5,"Euthanasia","Suffering","Cat","intactfemale",365,"mixed","calico",,"false"
"true",0,"Adoption",,"Dog","neuteredmale",60,"mixed","black",,"false"
"false",0,"Transfer","SCRP","Cat","spayedfemale",730,"mixed","black","white","true"
"true",4,"Adoption","Foster","Dog","neuteredmale",365,"chihuahuashorthair","white",,"false"
"false",2,"Euthanasia","Suffering","Cat","unknown",14,"mixed","bluetabby",,"false"
"true",6,"Transfer","Partner","Cat","unknown",28,"mixed","sealpoint",,"false"
"false",1,"Transfer","SCRP","Cat","intactmale",730,"mixed","bluetabby",,"false"
"true",1,"Euthanasia","Suffering","Dog","neuteredmale",4380,"mixed","brownbrindle",,"false"
"false",0,"Adoption",,"Dog","neuteredmale",365,"mixed","brown","white","true"
"true",6,"Adoption","Foster","Cat","neuteredmale",60,"mixed","black",,"false"
"false",2,"Transfer","Partner","Cat","intactmale",14,"mixed","black",,"false"
"false",6,"Transfer","Partner","Dog","intactfemale",90,"mixed","black","white","true"
"false",1,"Adoption",,"Cat","spayedfemale",90,"mixed","calico",,"false"
"true",2,"Adoption",,"Dog","neuteredmale",150,"mixed","brownbrindle","white","true"
"true",0,"Adoption",,"Dog","spayedfemale",1095,"mixed","black",,"false"
"true",4,"Transfer","Partner","Dog","spayedfemale",2555,"lhasaapso","black","white","true"
"true",5,"Euthanasia","Aggressive","Dog","spayedfemale",730,"mixed","black","tan","true"
"true",1,"Adoption","Foster","Cat","spayedfemale",120,"mixed","black",,"false"
"true",0,"Adoption",,"Dog","spayedfemale",3285,"mixed","brown","white","true"
"true",0,"Transfer","Partner","Dog","neuteredmale",210,"mixed","black","white","true"
"false",1,"Adoption",,"Cat","neuteredmale",60,"mixed","black","white","true"
"false",5,"Transfer","SCRP","Cat","intactmale",1095,"mixed","black","white","true"
"false",3,"Adoption",,"Dog","neuteredmale",1095,"mixed","gray",,"false"
"true",4,"Adoption",,"Dog","neuteredmale",1825,"mixed","tan","white","true"
"true",4,"Transfer","Partner","Dog","neuteredmale",1825,"mixed","brownbrindle","white","true"
"false",3,"Transfer","Partner","Cat","intactfemale",14,"mixed","blue",,"false"
"false",0,"Transfer","Partner","Cat","unknown",14,"mixed","black",,"false"
"true",4,"Transfer","Partner","Cat","spayedfemale",1460,"mixed","torbie",,"false"
"true",3,"Return_to_owner",,"Dog","neuteredmale",1460,"mixed","tan","white","true"
"true",0,"Adoption",,"Cat","neuteredmale",60,"mixed","browntabby",,"false"
"true",5,"Return_to_owner",,"Dog","spayedfemale",730,"mixed","black","tan","true"
"true",0,"Adoption",,"Dog","neuteredmale",730,"mixed","white",,"false"
"true",6,"Return_to_owner",,"Dog","neuteredmale",3285,"mixed","black","brown","true"
"true",2,"Return_to_owner",,"Dog","neuteredmale",1825,"mixed","tricolor",,"false"
"true",5,"Euthanasia","Aggressive","Dog","neuteredmale",365,"mixed","white","yellowbrindle","true"
"true",0,"Adoption",,"Dog","spayedfemale",730,"mixed","fawn","white","true"
"false",2,"Transfer","Partner","Cat","intactmale",21,"mixed","browntabby",,"false"
"true",1,"Transfer","Partner","Dog","intactmale",150,"mixed","brown","white","true"
"false",1,"Euthanasia","Suffering","Cat","intactmale",2190,"mixed","orangetabby",,"false"
"true",6,"Adoption",,"Dog","spayedfemale",365,"mixed","tan",,"false"
"true",4,"Transfer","Partner","Dog","intactmale",90,"mixed","black","white","true"
"true",6,"Transfer","Partner","Cat","intactfemale",30,"mixed","calico",,"false"
"true",0,"Return_to_owner",,"Dog","spayedfemale",1095,"mixed","brown",,"false"
"true",1,"Return_to_owner",,"Dog","neuteredmale",1825,"mixed","black",,"false"
"true",1,"Adoption",,"Dog","neuteredmale",2920,"mixed","black",,"false"
"false",0,"Adoption","Offsite","Dog","spayedfemale",60,"mixed","black","white","true"
"false",5,"Euthanasia","Suffering","Cat","intactfemale",2555,"mixed","tortie",,"false"
"true",5,"Adoption",,"Cat","intactfemale",60,"mixed","black",,"false"
"true",4,"Adoption",,"Dog","neuteredmale",1825,"pitbull","black",,"false"
"true",0,"Adoption",,"Dog","neuteredmale",365,"mixed","brown","white","true"
"false",0,"Transfer","SCRP","Cat","intactmale",90,"mixed","browntabby",,"false"
"true",0,"Return_to_owner",,"Dog","neuteredmale",730,"mixed","brown","white","true"
"true",0,"Return_to_owner",,"Dog","spayedfemale",3285,"mixed","chocolate","white","true"
"true",4,"Adoption",,"Dog","spayedfemale",1095,"mixed","red","white","true"
"true",1,"Return_to_owner",,"Cat","spayedfemale",1095,"mixed","calico",,"false"
"true",5,"Adoption",,"Dog","spayedfemale",365,"mixed","black","white","true"
"true",5,"Transfer","Partner","Dog","spayedfemale",730,"mixed","black","tan","true"
"true",2,"Return_to_owner",,"Dog","spayedfemale",365,"pitbull","brownbrindle",,"false"
"true",2,"Transfer","Partner","Cat","neuteredmale",730,"mixed","flamepoint",,"false"
"true",6,"Return_to_owner",,"Dog","spayedfemale",730,"mixed","brown",,"false"
"false",3,"Transfer","SCRP","Cat","intactfemale",730,"mixed","blue","white","true"
"false",2,"Transfer","SCRP","Cat","unknown",90,"mixed","tortie",,"false"
"true",0,"Adoption","Foster","Dog","spayedfemale",30,"mixed","tricolor",,"false"
"false",2,"Adoption",,"Cat","neuteredmale",60,"mixed","orangetabby","white","true"
"false",0,"Adoption","Offsite","Cat","neuteredmale",300,"mixed","creamtabby",,"false"
"true",2,"Transfer","Partner","Cat","spayedfemale",730,"mixed","browntabby","white","true"
"true",0,"Adoption",,"Cat","spayedfemale",60,"mixed","calico",,"false"
"true",0,"Adoption",,"Dog","neuteredmale",180,"mixed","yellow",,"false"
"true",6,"Adoption",,"Cat","spayedfemale",60,"mixed","browntabby",,"false"
"false",5,"Adoption",,"Dog","spayedfemale",365,"mixed","tan",,"false"
"true",3,"Transfer","Partner","Dog","intactfemale",180,"mixed","brown","white","true"
"true",0,"Adoption",,"Cat","spayedfemale",365,"mixed","black","white","true"
"false",5,"Transfer","Partner","Cat","intactmale",21,"mixed","calico",,"false"
"true",5,"Adoption","Foster","Cat","neuteredmale",730,"mixed","browntabby",,"false"
"true",6,"Adoption",,"Dog","spayedfemale",330,"mixed","blue","white","true"
"false",1,"Transfer","Partner","Dog","neuteredmale",90,"mixed","tricolor",,"false"
"true",1,"Return_to_owner",,"Dog","spayedfemale",730,"dachshundlonghair","brown",,"false"
"true",6,"Transfer","Partner","Dog","neuteredmale",730,"mixed","red",,"false"
"true",6,"Adoption",,"Dog","neuteredmale",730,"mixed","brown","white","true"
"true",4,"Adoption",,"Cat","spayedfemale",120,"domesticlonghair","calico",,"false"
"false",1,"Transfer","Partner","Dog","intactfemale",120,"mixed","red",,"false"
"false",1,"Transfer","SCRP","Cat","intactfemale",150,"mixed","torbie",,"false"
"true",3,"Adoption","Foster","Cat","neuteredmale",60,"mixed","blacktabby","white","true"
"true",3,"Transfer","Partner","Dog","neuteredmale",2555,"mixed","brown","white","true"
"true",6,"Adoption","Foster","Cat","neuteredmale",1460,"mixed","black","white","true"
"false",4,"Transfer","Partner","Cat","intactfemale",21,"mixed","calico","tortie","true"
"true",0,"Adoption",,"Dog","neuteredmale",180,"mixed","black","white","true"
"true",6,"Adoption",,"Dog","intactfemale",150,"mixed","black","white","true"
"true",3,"Return_to_owner",,"Dog","spayedfemale",2920,"maltese","white",,"false"
"false",0,"Adoption",,"Cat","neuteredmale",60,"mixed","black",,"false"
"true",1,"Adoption",,"Cat","spayedfemale",30,"mixed","bluetabby","white","true"
"false",1,"Return_to_owner",,"Dog","spayedfemale",150,"mixed","white",,"false"
"true",6,"Transfer","Partner","Cat","intactmale",30,"mixed","browntabby",,"false"
"false",4,"Transfer","SCRP","Cat","intactmale",120,"mixed","bluetabby",,"false"
"true",6,"Adoption",,"Dog","spayedfemale",365,"mixed","tan","white","true"
"true",0,"Adoption",,"Dog","neuteredmale",730,"mixed","black","brown","true"
"true",1,"Transfer","Partner","Cat","spayedfemale",4015,"mixed","tortie",,"false"
"false",4,"Adoption","Foster","Dog","neuteredmale",60,"mixed","tricolor",,"false"
"true",2,"Transfer","Partner","Cat","neuteredmale",60,"mixed","black","white","true"
"true",4,"Adoption",,"Cat","intactfemale",60,"mixed","browntabby",,"false"
"true",1,"Adoption",,"Dog","spayedfemale",30,"mixed","black","brownbrindle","true"
"true",1,"Return_to_owner",,"Dog","spayedfemale",2555,"mixed","tan","white","true"
"false",3,"Transfer","Partner","Cat","intactmale",4,"mixed","creamtabby","white","true"
"true",1,"Return_to_owner",,"Dog","neuteredmale",1460,"siberianhusky","gray","white","true"
"true",2,"Transfer","Partner","Dog","spayedfemale",730,"mixed","tan","white","true"
"true",6,"Return_to_owner",,"Dog","spayedfemale",365,"mixed","black","white","true"
"true",3,"Return_to_owner",,"Dog","neuteredmale",730,"mixed","brownbrindle","white","true"
"false",3,"Transfer","Partner","Cat","intactfemale",28,"mixed","browntabby",,"false"
"true",5,"Transfer","Partner","Cat","intactfemale",365,"mixed","black","white","true"
"true",2,"Adoption",,"Dog","spayedfemale",730,"mixed","silver","tan","true"
"false",4,"Transfer","SCRP","Cat","intactmale",300,"mixed","orangetabby",,"false"
"true",6,"Transfer","Partner","Dog","spayedfemale",1460,"mixed","white",,"false"
"true",3,"Adoption",,"Cat","spayedfemale",120,"mixed","browntabby","white","true"
"true",3,"Transfer","Partner","Dog","spayedfemale",2190,"mixed","tan","white","true"
"false",5,"Adoption",,"Dog","spayedfemale",270,"mixed","black","white","true"
"true",6,"Adoption",,"Dog","spayedfemale",1095,"mixed","red",,"false"
"true",0,"Adoption",,"Cat","spayedfemale",240,"mixed","torbie",,"false"
"true",4,"Adoption",,"Dog","spayedfemale",300,"mixed","black","redtick","true"
"false",2,"Transfer","Partner","Cat","neuteredmale",365,"mixed","creamtabby","white","true"
"true",2,"Adoption",,"Dog","neuteredmale",365,"mixed","bluemerle",,"false"
"true",5,"Adoption",,"Dog","neuteredmale",365,"mixed","black","white","true"
"true",4,"Adoption","Foster","Dog","neuteredmale",90,"mixed","yellow",,"false"
"true",2,"Return_to_owner",,"Dog","intactmale",2190,"mixed","chocolate","tan","true"
"false",2,"Transfer","SCRP","Cat","unknown",365,"mixed","black",,"false"
"true",4,"Return_to_owner",,"Dog","neuteredmale",730,"mixed","tan","white","true"
"false",6,"Adoption",,"Dog","spayedfemale",1825,"mixed","tan","white","true"
"false",0,"Euthanasia","Suffering","Cat","neuteredmale",4380,"mixed","orangetabby","white","true"
"true",2,"Adoption",,"Dog","spayedfemale",730,"mixed","sable",,"false"
"true",6,"Adoption",,"Dog","neuteredmale",2190,"mixed","black","white","true"
"true",6,"Adoption",,"Cat","neuteredmale",90,"mixed","black",,"false"
"true",6,"Return_to_owner",,"Dog","spayedfemale",240,"mixed","tricolor",,"false"
"true",5,"Transfer","Partner","Cat","neuteredmale",365,"mixed","black",,"false"
"true",6,"Transfer","Partner","Cat","intactfemale",5475,"mixed","black",,"false"
"false",3,"Transfer","Partner","Dog","intactfemale",21,"mixed","chocolate","white","true"
"true",4,"Adoption",,"Dog","neuteredmale",150,"mixed","brown","white","true"
"false",3,"Adoption",,"Dog","neuteredmale",730,"mixed","black","white","true"
"true",2,"Adoption","Foster","Dog","spayedfemale",730,"mixed","brownbrindle","white","true"
"true",5,"Return_to_owner",,"Dog","intactmale",730,"mixed","brownmerle","white","true"
"false",1,"Adoption",,"Dog","spayedfemale",730,"mixed","tan","white","true"
"false",5,"Transfer","Partner","Cat","intactfemale",21,"mixed","calico",,"false"
"true",4,"Transfer","Partner","Dog","spayedfemale",365,"mixed","browntiger","white","true"
"false",6,"Transfer","SCRP","Cat","intactmale",730,"mixed","browntabby","white","true"
"true",3,"Transfer","Partner","Cat","intactmale",28,"mixed","browntabby",,"false"
"true",2,"Transfer","Partner","Dog","neuteredmale",1460,"mixed","brown","white","true"
"false",2,"Transfer","Partner","Cat","intactmale",21,"mixed","browntabby",,"false"
"true",2,"Adoption","Foster","Cat","intactmale",60,"mixed","black",,"false"
"true",2,"Transfer","Partner","Dog","spayedfemale",365,"mixed","black","white","true"
"true",5,"Adoption","Foster","Dog","spayedfemale",60,"mixed","brown","white","true"
"true",1,"Adoption",,"Dog","spayedfemale",365,"mixed","black","white","true"
"false",2,"Adoption",,"Dog","spayedfemale",1095,"mixed","buff",,"false"
"true",1,"Euthanasia","Aggressive","Dog","neuteredmale",3285,"mixed","black",,"false"
"true",1,"Return_to_owner",,"Cat","spayedfemale",730,"mixed","black","white","true"
"false",1,"Transfer","Partner","Dog","spayedfemale",1825,"greatdane","black","white","true"
"true",0,"Return_to_owner",,"Dog","intactmale",730,"mixed","black","white","true"
"true",5,"Return_to_owner",,"Dog","neuteredmale",730,"chesabayretr","brown",,"false"
"true",2,"Return_to_owner",,"Dog","neuteredmale",2555,"germanshepherd","black","brown","true"
"false",1,"Transfer","SCRP","Cat","intactfemale",365,"mixed","browntabby","white","true"
"true",6,"Adoption",,"Cat","spayedfemale",2190,"mixed","black","white","true"
"true",6,"Adoption","Foster","Cat","neuteredmale",60,"mixed","orangetabby","white","true"
"true",0,"Return_to_owner",,"Dog","spayedfemale",365,"mixed","black","tan","true"
"false",4,"Adoption",,"Cat","neuteredmale",60,"mixed","orangetabby","white","true"
"true",6,"Return_to_owner",,"Dog","spayedfemale",2190,"mixed","brownbrindle",,"false"
"false",2,"Transfer","Partner","Cat","intactmale",60,"mixed","browntabby","white","true"
"true",3,"Adoption",,"Dog","spayedfemale",730,"mixed","black","brown","true"
"true",2,"Adoption",,"Cat","neuteredmale",2555,"mixed","flamepoint",,"false"
"true",0,"Adoption",,"Cat","spayedfemale",90,"mixed","browntabby","white","true"
"true",4,"Adoption",,"Dog","neuteredmale",1095,"mixed","red",,"false"
"false",2,"Transfer","SCRP","Cat","intactfemale",730,"mixed","black",,"false"
"false",0,"Adoption",,"Dog","spayedfemale",2555,"englishpointer","liver","white","true"
"false",0,"Euthanasia","Suffering","Cat","intactmale",30,"mixed","bluetabby","white","true"
"true",6,"Return_to_owner",,"Dog","spayedfemale",730,"mixed","brown","white","true"
"true",3,"Return_to_owner",,"Dog","intactfemale",150,"mixed","black","white","true"
"true",2,"Transfer","Partner","Dog","neuteredmale",1460,"mixed","black","white","true"
"true",4,"Return_to_owner",,"Dog","neuteredmale",730,"mixed","buff",,"false"
"true",0,"Transfer","Partner","Dog","spayedfemale",2555,"mixed","tricolor",,"false"
"true",0,"Adoption",,"Dog","neuteredmale",365,"mixed","brown",,"false"
"false",3,"Transfer","Partner","Cat","neuteredmale",30,"mixed","orangetabby","white","true"
"true",6,"Adoption",,"Dog","neuteredmale",30,"mixed","black","brown","true"
"true",0,"Adoption",,"Cat","neuteredmale",60,"mixed","black","white","true"
"false",2,"Transfer","SCRP","Cat","intactfemale",1095,"mixed","blue",,"false"
"true",3,"Transfer","Partner","Dog","spayedfemale",1460,"mixed","tan","white","true"
"true",6,"Adoption",,"Dog","spayedfemale",365,"mixed","black","white","true"
"true",0,"Adoption",,"Dog","spayedfemale",730,"mixed","black","white","true"
"true",4,"Transfer","Partner","Dog","spayedfemale",3650,"cockerspaniel","buff",,"false"
"true",6,"Adoption",,"Cat","neuteredmale",60,"mixed","browntabby",,"false"
"true",6,"Adoption",,"Dog","spayedfemale",3650,"mixed","tan",,"false"
"true",0,"Adoption","Foster","Cat","spayedfemale",730,"mixed","browntabby","white","true"
"true",1,"Return_to_owner",,"Dog","spayedfemale",2555,"mixed","black","white","true"
"false",1,"Adoption",,"Dog","neuteredmale",365,"mixed","black","tan","true"
"true",4,"Transfer","Partner","Dog","neuteredmale",1825,"mixed","brownbrindle","white","true"
"true",1,"Return_to_owner",,"Dog","spayedfemale",2190,"mixed","black","gray","true"
"false",6,"Transfer","Partner","Cat","unknown",7,"mixed","browntabby",,"false"
"false",4,"Euthanasia","Behavior","Dog","spayedfemale",2555,"mixed","tan","white","true"
"true",3,"Adoption",,"Dog","neuteredmale",365,"mixed","black",,"false"
"true",4,"Adoption",,"Dog","neuteredmale",365,"mixed","brown","white","true"
"false",0,"Transfer","Partner","Cat","intactfemale",14,"mixed","orangetabby",,"false"
"false",2,"Transfer","SCRP","Cat","intactfemale",365,"mixed","orangetabby",,"false"
"true",3,"Return_to_owner",,"Dog","neuteredmale",1825,"germanshepherd","black","brown","true"
"true",1,"Return_to_owner",,"Dog","spayedfemale",730,"mixed","black","tan","true"
"true",2,"Adoption",,"Dog","neuteredmale",300,"mixed","cream","white","true"
"false",1,"Transfer","Partner","Cat","intactfemale",90,"mixed","black",,"false"
"true",5,"Adoption",,"Dog","neuteredmale",270,"mixed","fawn","white","true"
"false",1,"Transfer","Partner","Cat","intactfemale",30,"mixed","black","white","true"
"false",5,"Transfer","Partner","Cat","unknown",0,"mixed","blue",,"false"
"false",2,"Transfer","SCRP","Cat","spayedfemale",1825,"mixed","calico",,"false"
"false",6,"Adoption",,"Dog","spayedfemale",240,"mixed","chocolate","white","true"
"false",4,"Transfer","Partner","Dog","intactmale",365,"mixed","cream",,"false"
"true",3,"Adoption","Foster","Cat","spayedfemale",60,"mixed","orangetabby",,"false"
"true",2,"Return_to_owner",,"Cat","neuteredmale",90,"domesticshorthair","black","white","true"
"true",1,"Return_to_owner",,"Dog","intactmale",5110,"mixed","chocolate","white","true"
"true",0,"Return_to_owner",,"Dog","neuteredmale",2555,"mixed","chocolate",,"false"
"true",0,"Adoption",,"Dog","neuteredmale",730,"shihtzu","gray","white","true"
"true",4,"Transfer","Partner","Dog","spayedfemale",180,"mixed","brownbrindle",,"false"
"true",1,"Adoption",,"Dog","neuteredmale",330,"mixed","tan","white","true"
"true",4,"Adoption",,"Dog","neuteredmale",1095,"mixed","tan","white","true"
"true",5,"Transfer","Partner","Cat","intactfemale",60,"mixed","black","white","true"
"true",0,"Adoption",,"Dog","neuteredmale",365,"mixed","black","white","true"
"false",1,"Euthanasia","Suffering","Cat","intactfemale",28,"mixed","bluepoint",,"false"
"true",6,"Euthanasia","Suffering","Dog","neuteredmale",1460,"mixed","brown","white","true"
"true",3,"Adoption",,"Cat","neuteredmale",2920,"mixed","orangetabby",,"false"
"true",3,"Adoption",,"Cat","spayedfemale",90,"mixed","calico",,"false"
"true",0,"Adoption",,"Dog","spayedfemale",60,"mixed","brown","white","true"
"false",5,"Adoption",,"Cat","spayedfemale",120,"mixed","tortie",,"false"
"false",5,"Euthanasia","Aggressive","Dog","intactmale",730,"mixed","black","tan","true"
"true",4,"Return_to_owner",,"Dog","neuteredmale",2190,"mixed","brown",,"false"
"true",0,"Transfer","Partner","Dog","spayedfemale",330,"mixed","brownbrindle","white","true"
"false",4,"Transfer","Partner","Dog","spayedfemale",365,"mixed","tan","white","true"
"false",6,"Transfer","Partner","Dog","neuteredmale",1460,"mixed","apricot","white","true"
"true",6,"Adoption","Foster","Cat","neuteredmale",60,"mixed","blue","white","true"
"false",1,"Transfer","Partner","Dog","neuteredmale",730,"mixed","red",,"false"
"false",1,"Adoption",,"Dog","spayedfemale",60,"mixed","black","redmerle","true"
"true",2,"Adoption",,"Cat","neuteredmale",180,"mixed","black",,"false"
"true",0,"Adoption",,"Cat","neuteredmale",2920,"mixed","black","white","true"
"true",4,"Return_to_owner",,"Cat","neuteredmale",1095,"mixed","browntabby",,"false"
"true",0,"Adoption",,"Dog","neuteredmale",730,"mixed","brown","white","true"
"false",5,"Transfer","Partner","Dog","intactmale",60,"mixed","brown","white","true"
"false",0,"Transfer","Partner","Cat","intactfemale",21,"mixed","tortie",,"false"
"true",5,"Adoption",,"Cat","spayedfemale",60,"mixed","browntabby",,"false"
"true",2,"Adoption","Foster","Dog","neuteredmale",1460,"mixed","brown",,"false"
"true",1,"Transfer","Partner","Cat","neuteredmale",1825,"mixed","browntabby","white","true"
"true",0,"Adoption",,"Dog","spayedfemale",730,"mixed","chocolate","white","true"
"false",4,"Transfer","SCRP","Cat","intactfemale",180,"mixed","calico",,"false"
"false",5,"Transfer","Partner","Dog","spayedfemale",730,"mixed","black","gray","true"
"true",1,"Return_to_owner",,"Dog","spayedfemale",3650,"mixed","sable",,"false"
"false",5,"Transfer","SCRP","Cat","intactmale",180,"mixed","black","white","true"
"true",2,"Transfer","Partner","Cat","intactfemale",60,"mixed","calico",,"false"
"true",6,"Adoption",,"Dog","neuteredmale",180,"mixed","sable",,"false"
"true",6,"Return_to_owner",,"Dog","neuteredmale",2920,"mixed","tricolor",,"false"
"false",4,"Adoption",,"Dog","neuteredmale",180,"mixed","buff",,"false"
"false",4,"Transfer","Partner","Cat","intactmale",90,"mixed","sealpoint",,"false"
"true",3,"Adoption",,"Dog","spayedfemale",365,"mixed","black","tan","true"
"true",1,"Adoption","Foster","Dog","spayedfemale",365,"mixed","black","brown","true"
"true",1,"Adoption",,"Dog","neuteredmale",60,"mixed","tricolor",,"false"
"false",5,"Transfer","Partner","Cat","unknown",14,"mixed","bluetabby",,"false"
"false",6,"Adoption",,"Dog","spayedfemale",730,"mixed","tan",,"false"
"false",1,"Adoption",,"Cat","spayedfemale",60,"mixed","orangetabby","white","true"
"true",2,"Return_to_owner",,"Cat","neuteredmale",270,"mixed","browntabby","white","true"
"false",2,"Transfer","Partner","Dog","spayedfemale",1460,"mixed","black","white","true"
